Ht (norm),Wt (norm),40yd (norm),Vertical (norm),Bench (norm),Broad Jump (norm),3Cone (norm),Shutle (norm)
0.933126552,-0.465218629,-0.512075751,0.354968973,-0.745071063,-0.546372172,-1.025725823,-1.25073516
-1.100797729,-1.089706965,0.511428373,-0.154870633,0.253367105,0.453220195,-1.096636436,-0.924608889
-0.422822969,0.159269707,-0.993724751,-0.324817168,-0.345695796,0.453220195,-0.742083373,-0.978963268
0.933126552,1.09600221,1.113489623,-0.664710238,-0.944758696,-1.712563266,1.456145617,0.923439978
0.255151791,-0.309096545,0.692046748,-1.174549844,-1.943196864,-0.213174716,-0.919359904,0.48860495
-1.100797729,-1.011645923,-1.053930876,0.524915508,-0.345695796,0.78641765,-0.068432554,1.630046897
0.933126552,-0.309096545,-0.572281876,0.015075902,-0.345695796,-0.379773444,0.286120509,1.140857491
-0.422822969,0.315391791,-0.632488001,-2.02428252,-0.545383429,0.453220195,-0.245709085,-0.272356348
1.611101312,2.735284092,1.173695748,1.034755113,-1.344133963,-0.546372172,0.073388672,-0.218001969
1.611101312,-0.543279671,-1.114137001,0.015075902,0.253367105,2.2858062,-0.706628067,-1.413798295
-0.422822969,-0.855523839,-0.873312501,1.204701649,0.852430006,0.453220195,0.286120509,-0.761545754
-0.422822969,-0.621340713,-0.090632876,-0.154870633,1.451492906,0.120022739,-0.812993986,-0.54412824
-0.422822969,0.549574917,0.089985499,-0.154870633,2.050555807,-1.212767083,0.711584185,2.119236303
-0.422822969,-0.543279671,0.089985499,0.354968973,1.850868173,-1.545964538,-1.025725823,0.651668086
-0.422822969,-0.231035503,-0.271251251,0.694862043,0.852430006,-0.546372172,-0.812993986,-1.033317646
0.933126552,0.393452833,1.896169248,-1.174549844,-1.344133963,-1.379365811,1.597966842,1.575692519
0.255151791,-0.309096545,-0.331457376,0.015075902,-0.545383429,1.286213834,0.250665203,0.434250572
0.255151791,-0.699401755,-1.896816626,2.394327395,1.850868173,2.452404928,-1.486644805,-2.935720891
0.255151791,0.081208665,-0.211045126,-1.004603309,-0.345695796,-1.379365811,1.917064599,1.738755654
-0.422822969,-0.231035503,0.391016124,0.354968973,-0.745071063,-0.213174716,1.420690311,0.108124301
-1.778772489,-0.543279671,-1.415167626,-1.344496379,0.453054738,-1.545964538,0.286120509,0.325541815
-0.422822969,-0.387157587,0.812458998,1.204701649,1.65118054,0.286621467,-0.38753031,-0.381065105
-1.100797729,1.798551588,0.631840623,0.185022438,0.852430006,0.953016378,1.633422148,0.434250572
0.933126552,0.393452833,0.330809999,0.524915508,0.453054738,0.953016378,-0.493896229,0.271187436
2.289076072,-0.309096545,0.511428373,-2.194229055,-1.344133963,-1.379365811,0.286120509,0.977794356
0.255151791,-0.933584881,-0.150839001,0.015075902,0.053679471,0.120022739,-0.600262148,-0.978963268
0.933126552,0.081208665,-0.572281876,-1.854335985,-0.345695796,-0.046575988,-0.67117276,0.651668086
-1.100797729,-1.636134259,-0.632488001,0.524915508,0.453054738,-0.213174716,-0.706628067,-0.109293213
0.933126552,1.564368462,2.136993748,-0.834656774,-0.745071063,-1.212767083,1.278869085,2.336653817
