Ht (norm),Wt (norm),40yd (norm),Vertical (norm),Bench (norm),Broad Jump (norm),3Cone (norm),Shutle (norm)
-1.119357232,0.300559652,0.799410952,-0.487576007,-0.745840525,-2.017897452,0.393205772,0.728898848
-1.119357232,-1.049594239,-0.101348621,0.343683383,-0.554857102,-0.355279144,0.67251912,-2
-0.447978052,-0.674551491,0.258955208,-0.820079762,-1.891741062,0.309768179,0.67251912,0.144577958
2.237538668,0.900628048,-0.101348621,-0.321324129,0.591043435,-0.189017313,-0.409820101,-0.121022447
-0.447978052,1.350679344,0.138853932,0.177431505,0.400060012,-0.854064637,-0.060678417,0.091457877
0.223401128,-0.299508744,0.799410952,-0.487576007,-0.172890256,-0.521540975,1.650115835,-0.174142528
0.223401128,1.125653696,0.559208399,-2,0.782026858,-2,-2,-2
0.894780308,4.201004224,0.499157761,-0.155072251,1.354977126,-0.854064637,3.221253414,2.534981599
-0.447978052,-0.524534392,0.018752655,1.008690895,1.163993703,0.974815503,-0.619305111,-0.545983094
1.566159488,1.800730641,-0.641804365,1.839950285,-2,-0.022755482,-1.038275132,-1.289664227
0.894780308,2.550816136,4.522550522,-2,-1.891741062,-2,-2,-2
-1.119357232,-0.82456859,0.379056485,1.174942773,-1.700757639,0.642291841,1.056574972,0.357058281
-1.790736412,0.000525454,0.379056485,-2,-1.700757639,-2,-2,-2
-1.790736412,-0.149491645,0.258955208,-0.487576007,-0.554857102,-0.854064637,2.662626719,-0.014782285
-0.447978052,-0.674551491,-0.221449897,0.676187139,-2,0.143506348,0.812175793,0.038337796
-1.790736412,-0.82456859,-1.422462662,1.341194651,2.118910817,1.972386488,-0.305077596,-0.917823661
0.894780308,-1.199611338,0.379056485,-2,-0.554857102,-2,-2,-2
0.223401128,-0.82456859,0.138853932,1.673698407,-1.700757639,0.642291841,-0.619305111,-0.439742932
-1.119357232,-1.049594239,0.979562867,-0.653827885,-1.891741062,-1.186588298,0.183720762,-0.067902366
0.223401128,0.075534003,-0.521703089,1.673698407,0.97301028,0.642291841,-2,0.197698039
-0.447978052,1.500696443,0.439107123,0.343683383,0.97301028,-0.022755482,0.986746635,1.206979576
-1.119357232,-0.449525843,-1.362412024,-2,0.97301028,-2,-2,-2
-1.790736412,-1.799679733,0.258955208,1.008690895,0.400060012,1.473600995,-0.724047617,-1.395904389
-1.119357232,-0.074483096,0.559208399,0.509935261,2.118910817,0.47603001,0.707433288,0.144577958
0.223401128,-0.224500194,0.319005847,-2,0.018093166,-2,0.148806594,-1.130303984
0.894780308,1.050645146,0.559208399,1.507446529,-1.12780737,0.309768179,0.253549099,0.516418524
-1.119357232,-1.574654085,2.000423717,2.338705919,0.591043435,1.806124657,-0.479648438,-2.777026493
-0.447978052,-0.674551491,-0.46165245,2.172454041,-0.172890256,0.808553672,0.986746635,0.091457877
-2.462115592,0.150542553,0.19890457,1.341194651,-0.363873679,0.143506348,0.253549099,-0.492863013
-0.447978052,-1.049594239,0.739360314,-0.155072251,-2,-1.685373791,1.056574972,-0.758463418
-0.447978052,-1.199611338,-0.041297983,-2,-1.318790793,-2,-2,-2
-1.790736412,-0.524534392,-0.641804365,1.507446529,0.591043435,0.974815503,-0.86370429,-1.873985117
-1.119357232,-0.449525843,0.018752655,0.509935261,-1.318790793,0.642291841,0.916918299,-0.652223256
1.566159488,2.550816136,1.159714782,1.008690895,-1.318790793,-0.521540975,0.044064088,-0.227262609
-0.447978052,-0.149491645,0.379056485,0.676187139,-2,-1.020326467,-2,-2
0.223401128,1.800730641,0.499157761,0.676187139,0.400060012,-0.687802806,1.964343351,0.516418524
0.223401128,-0.224500194,-0.401601812,1.008690895,-0.363873679,1.141077333,-0.339991764,-0.545983094
-0.447978052,0.5255853,-0.041297983,1.341194651,0.018093166,-0.521540975,0.637604951,1.047619333
-0.447978052,-1.124602788,1.459967973,0.011179627,-0.172890256,0.143506348,0.21863493,-0.174142528
0.223401128,-0.749560041,-0.221449897,-2,-0.363873679,-2,-2,-2
0.894780308,-0.974585689,0.379056485,-2,-2,-2,-2,-2
0.223401128,-0.524534392,0.379056485,-2,-0.745840525,-2,-2,-2
0.894780308,0.975636597,1.580069249,0.177431505,0.018093166,0.309768179,0.67251912,0.516418524
-1.790736412,-1.124602788,-0.281500536,-0.98633164,-2,0.143506348,0.183720762,-0.86470358
-1.119357232,-0.599542942,-0.942057556,-2,1.736943972,-2,-2,-2
-0.447978052,-0.524534392,0.138853932,-0.98633164,0.782026858,-2.350421114,0.567776615,0.569538605
0.223401128,-0.974585689,-0.041297983,0.177431505,-2,0.143506348,0.148806594,0.941379172
2.237538668,-0.074483096,0.19890457,0.343683383,0.782026858,-0.189017313,-0.514562606,-0.545983094
-0.447978052,2.625824685,1.520018611,0.011179627,1.163993703,-0.854064637,1.126403309,0.569538605
-1.119357232,-1.049594239,1.339866696,-0.487576007,1.163993703,-0.521540975,-1.003360964,-0.545983094
-1.119357232,0.300559652,-0.641804365,-2,-2,-2,-2,-2
-0.447978052,0.150542553,0.619259038,0.676187139,-2,-0.355279144,1.231145814,1.844420547
-0.447978052,-0.674551491,-0.101348621,-0.155072251,1.354977126,0.143506348,-0.828790122,-0.545983094
0.894780308,-1.049594239,0.559208399,0.011179627,-1.12780737,-0.189017313,-0.758961785,-0.86470358
0.223401128,-0.749560041,-0.161399259,-2,-2,0.143506348,-2,-2
0.223401128,-1.574654085,-0.882006918,0.343683383,-0.363873679,0.974815503,-1.596901827,-1.130303984
-1.119357232,-1.049594239,-1.602614576,1.673698407,-0.554857102,0.47603001,-1.52707349,-1.024063822
2.237538668,2.175773388,-0.641804365,-2,-2,-2,-2,-2
-1.119357232,0.300559652,0.439107123,-2,0.400060012,-2,-2,-2
-1.119357232,-1.049594239,-1.002108194,1.673698407,1.927927394,-0.854064637,-0.409820101,-0.067902366
-0.447978052,0.450576751,-0.101348621,0.509935261,-2,0.642291841,0.148806594,0.569538605
-0.447978052,0.225551102,0.439107123,-0.155072251,0.018093166,-2,-2,-2
0.894780308,1.275670795,2.000423717,-1.152583518,-1.12780737,-1.51911196,4.198850129,2.428741437
